,posicionamento,Regiao,ano,voto_count,Total,voto_norm
144,Centro-direita,Norte,2007,476,123437.0,0.38562181517697286
242,Centro-esquerda,Norte,2007,50,123437.0,0.04050649319085849
340,Direita,Norte,2007,728,123437.0,0.5897745408588997
440,Esquerda,Norte,2007,847,123437.0,0.6861799946531428
45,Centro,Norte,2008,338,123437.0,0.2738238939702034
145,Centro-direita,Norte,2008,363,123437.0,0.29407714056563267
243,Centro-esquerda,Norte,2008,58,123437.0,0.046987532101395856
341,Direita,Norte,2008,676,123437.0,0.5476477879404068
441,Esquerda,Norte,2008,818,123437.0,0.662686228602445
46,Centro,Norte,2009,560,123437.0,0.4536727237376152
146,Centro-direita,Norte,2009,441,123437.0,0.35726726994337193
244,Centro-esquerda,Norte,2009,292,123437.0,0.23655792023461358
342,Direita,Norte,2009,1007,123437.0,0.8158007728638901
442,Esquerda,Norte,2009,1070,123437.0,0.8668389542843719
47,Centro,Norte,2010,260,123437.0,0.21063376459246416
147,Centro-direita,Norte,2010,233,123437.0,0.18876025826940057
245,Centro-esquerda,Norte,2010,175,123437.0,0.14177272616800474
343,Direita,Norte,2010,540,123437.0,0.4374701264612717
443,Esquerda,Norte,2010,486,123437.0,0.3937231138151445
48,Centro,Norte,2011,1147,123437.0,0.9292189537982939
148,Centro-direita,Norte,2011,337,123437.0,0.2730137641063863
246,Centro-esquerda,Norte,2011,211,123437.0,0.17093740126542284
344,Direita,Norte,2011,446,123437.0,0.36131791926245777
444,Esquerda,Norte,2011,699,123437.0,0.5662807748082018
49,Centro,Norte,2012,878,123437.0,0.7112940204314752
149,Centro-direita,Norte,2012,267,123437.0,0.21630467363918435
247,Centro-esquerda,Norte,2012,271,123437.0,0.21954519309445303
345,Direita,Norte,2012,315,123437.0,0.25519090710240855
445,Esquerda,Norte,2012,492,123437.0,0.3985838929980476
50,Centro,Norte,2013,1893,123437.0,1.5335758322059028
150,Centro-direita,Norte,2013,451,123437.0,0.36536856858154365
248,Centro-esquerda,Norte,2013,471,123437.0,0.38157116585788703
346,Direita,Norte,2013,549,123437.0,0.44476129523562624
446,Esquerda,Norte,2013,1154,123437.0,0.9348898628450141
51,Centro,Norte,2014,851,123437.0,0.6894205141084117
151,Centro-direita,Norte,2014,344,123437.0,0.27868467315310647
249,Centro-esquerda,Norte,2014,255,123437.0,0.20658311527337833
347,Direita,Norte,2014,185,123437.0,0.14987402480617643
447,Esquerda,Norte,2014,588,123437.0,0.47635635992449593
52,Centro,Norte,2015,2974,123437.0,2.409326214992263
152,Centro-direita,Norte,2015,698,123437.0,0.5654706449443846
250,Centro-esquerda,Norte,2015,1324,123437.0,1.0726119396939329
348,Direita,Norte,2015,932,123437.0,0.7550410330776023
448,Esquerda,Norte,2015,1674,123437.0,1.3561573920299423
